StockCode,TOTAL_REVENUE,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE
21481,11225.27,491,256,21.881618
22356,11218.76,744,221,14.438559
22149,11215.58,552,338,19.607657
21216,11100.33,431,151,24.722339
22662,11062.53,683,313,15.669306
20971,11059.33,523,278,20.556375
22413,11051.69,413,229,26.188839
85014B,11027.14,374,212,29.172328
22776,10996.07,537,334,19.024343
20711,10974.31,526,153,20.551142
22692,10824.43,449,232,23.947854
22988,10805.53,423,199,24.391716
84997A,10762.67,326,144,32.813018
71459,10753.01,441,227,23.789845
22617,10550.90,467,301,21.799380
22734,10534.90,430,279,23.568009
21791,10490.65,609,343,17.002674
84755,10473.40,622,319,16.364688
21891,10466.68,428,266,23.156372
22570,10395.12,392,203,25.794342
23208,10388.16,669,306,15.011792
47590A,10359.96,391,229,26.294315
21914,10298.56,604,308,16.745626
84947,10258.98,348,179,27.652237
21217,10237.44,345,170,29.083636
22970,10191.15,318,181,31.070579
48173C,10074.83,197,107,49.875396
23170,10070.75,446,226,21.988537
23582,10010.77,260,187,37.214758
22633,10002.72,481,302,19.385116
22621,9992.20,610,367,15.987520
85048,9992.12,262,174,35.060070
22556,9961.21,572,307,16.854839
21218,9951.24,395,132,24.330660
23076,9930.76,278,203,35.467000
22619,9906.29,448,251,21.772066
23171,9905.74,382,196,25.530258
22555,9828.63,516,295,18.405674
22690,9819.51,287,199,33.513686
20679,9776.38,327,143,29.625394
22791,9771.13,347,185,26.992072
21559,9712.88,576,234,16.242274
22766,9687.24,505,281,18.174934
22560,9601.26,390,230,24.555652
22144,9588.78,545,320,17.031581
21314,9541.43,542,217,16.310137
22569,9474.95,350,194,26.392618
21340,9467.30,291,180,31.452824
35970,9425.36,458,271,19.759665
21174,9413.82,541,226,17.116036
22952,9384.32,620,344,14.371087
84375,9376.85,519,291,17.592589
85150,9376.23,480,197,19.292654
23175,9374.65,332,207,27.172899
22169,9347.08,373,166,23.966872
22561,9344.82,434,289,20.812517
22978,9296.12,239,154,37.036335
22749,9264.91,449,276,19.754606
22456,9221.19,477,221,18.045382
22966,9205.90,673,389,13.284127
47566B,9199.52,471,194,19.125821
22992,9186.44,349,218,25.031172
22191,9184.30,416,242,20.826077
20972,9129.31,617,313,14.422291
84991,9088.02,829,416,10.434007
23319,9021.87,404,301,21.227929
22771,9012.94,442,170,19.678908
22759,9004.34,426,254,20.280045
22654,9001.89,329,160,26.092435
22729,8964.31,447,182,18.912046
23439,8941.61,397,269,21.039082
22632,8936.28,395,263,21.533205
22989,8934.27,373,242,23.327076
21889,8829.79,589,337,14.546606
82582,8823.09,439,178,19.782713
23318,8798.68,377,271,22.503018
21155,8790.80,486,207,17.373123
23322,8755.56,564,351,14.740000
48116,8748.46,204,89,42.468252
84945,8657.94,348,210,23.274032
22847,8601.39,379,215,21.030293
22652,8595.57,469,264,17.944823
23080,8576.76,258,149,31.648561
22273,8503.69,332,213,24.720029
23493,8498.28,416,283,19.626513
23078,8493.34,258,160,32.792819
23082,8474.35,298,206,27.074601
84378,8450.90,686,377,12.072714
23321,8408.92,630,379,12.798965
21213,8392.04,664,296,12.377640
21484,8385.70,404,207,19.824350
22424,8369.69,455,190,17.694905
23256,8337.37,369,233,21.825576
22844,8313.44,417,177,19.378648
71053,8302.05,334,150,23.386056
21210,8200.54,455,245,17.711749
72741,8188.75,293,197,27.025578
84970S,8148.70,604,272,13.314869
22795,8125.35,370,171,21.609973
23534,8081.25,261,160,30.610795
84380,8062.71,689,326,11.404116
21035,7999.85,395,152,19.850744
22725,7978.88,429,175,17.613422
22616,7972.76,514,196,15.014614
21121,7913.85,380,239,20.188393
23535,7910.20,216,136,35.792760
21770,7909.08,389,264,20.176224
22909,7855.34,611,369,12.273969
22940,7854.50,322,242,23.169617
22667,7840.40,466,234,15.680800
22352,7832.92,483,186,15.728755
22192,7801.17,367,181,20.914665
21136,7784.64,372,260,20.325431
23238,7759.96,275,151,26.484505
22557,7732.54,567,317,13.128251
22605,7732.26,300,183,25.186515
21908,7701.82,469,221,16.112594
22804,7680.20,476,254,15.484274
23204,7603.60,584,200,12.800673
22768,7591.26,261,187,26.450383
22750,7540.58,414,248,17.618178
22147,7523.29,483,288,14.838836
22585,7505.39,396,242,17.869976
84406B,7494.82,288,135,25.320338
22173,7493.93,497,211,14.722849
22367,7450.08,553,301,13.001885
21231,7440.45,510,217,13.702486
21668,7424.99,438,171,16.211769
84836,7383.07,536,312,13.375127
22381,7381.49,470,135,15.314295
48111,7378.67,235,112,31.002815
21955,7340.82,206,109,34.956286
22741,7320.51,234,108,30.888228
84030E,7314.81,376,199,18.755923
23382,7292.43,221,137,32.555491
21169,7291.14,452,193,15.513064
84949,7230.09,291,167,21.975957
22487,7145.11,430,279,15.984586
22631,7143.02,398,169,17.379611
22627,7085.94,366,195,18.549581
21912,7062.70,398,202,17.612718
22968,7045.28,193,119,34.705813
23083,7040.48,247,163,27.827984
22553,7038.07,562,284,11.868583
22505,7035.56,312,188,21.849565
23320,7034.59,334,261,20.331185
22663,7031.83,451,172,15.488612
21669,7020.99,426,168,15.567605
23236,7010.84,328,204,19.693371
DOT,6990.35,710,2,9.845563
22637,6985.18,332,192,19.511676
23293,6975.43,553,324,12.302346
23543,6965.89,103,82,65.715943
21094,6933.26,527,180,13.032444
21165,6918.80,452,179,15.040870
22333,6911.94,318,170,20.694431
21259,6880.72,287,135,23.245676
21326,6876.82,341,169,19.371324
22294,6858.83,300,163,21.636688
23254,6849.16,300,205,21.743365
22834,6830.18,369,200,17.694767
23215,6829.84,211,163,31.473917
84970L,6820.35,508,235,13.373235
22109,6814.26,298,102,22.196287
23103,6813.16,366,232,17.650674
23283,6789.33,235,147,28.768347
22620,6776.56,485,261,13.607550
85014A,6755.08,293,185,22.976463
23297,6749.33,162,124,40.415150
21787,6743.65,244,116,26.760516
21672,6738.35,410,160,15.817723
47591D,6728.59,497,253,13.403566
22950,6719.35,186,157,35.365000
22767,6714.37,219,155,28.571787
21922,6704.88,209,114,31.776682
22170,6699.15,266,143,24.811667
23229,6698.82,257,188,25.665977
22840,6662.52,272,195,23.053702
23480,6658.54,216,144,29.858924
84988,6653.85,512,210,12.920097
22634,6648.93,223,157,26.595720
23109,6639.33,269,179,23.882482
82001S,6634.80,155,50,41.728302
75049L,6623.78,206,72,28.674372
21888,6610.79,383,212,16.994319
23247,6597.39,310,232,20.616844
20718,6570.05,576,238,11.211689
23541,6567.76,154,98,42.647792
22943,6555.63,213,134,29.136133
22668,6553.42,346,163,18.670712
21533,6552.60,340,214,18.151247
22179,6549.54,290,100,21.904816
22947,6537.84,139,82,46.041127
22580,6508.78,248,131,25.726403
84992,6493.19,616,326,9.989523
22508,6462.13,297,180,21.257007
23311,6449.95,345,247,18.375926
22141,6440.69,458,257,13.616681
23571,6436.61,257,196,24.017201
21122,6434.79,345,216,17.974274
23188,6427.97,334,208,18.795234
23134,6424.47,40,30,160.611750
22991,6422.89,275,186,22.379408
20676,6413.56,449,187,13.972898
22846,6378.62,279,159,21.549392
22895,6332.25,285,164,21.685788
23307,6331.19,630,367,9.607269
21380,6313.41,291,139,21.474184
21935,6296.96,531,122,11.836391
23169,6291.99,317,204,17.824334
22979,6284.42,382,226,15.909924
20969,6256.86,306,158,20.118521
23172,6206.61,306,161,19.703524
22303,6182.40,262,157,22.646154
22784,6148.22,302,195,18.190000
23192,6137.34,346,225,17.095655
21154,6094.76,452,176,13.163629
21975,6081.85,602,290,9.488066
21670,6045.04,377,160,15.500103
47556B,6045.00,4,2,1511.250000
21156,6017.00,359,204,16.306233
22174,6013.43,321,105,18.167462
22151,6010.33,333,176,17.421246
17003,6006.42,240,137,24.516000
23312,5964.15,215,169,27.109773
23296,5954.30,379,244,15.306684
21871,5940.27,358,136,15.883075
21535,5930.81,345,206,16.029216
21673,5927.80,368,156,15.356995
22584,5916.36,197,128,29.434627
22150,5903.94,469,289,12.223478
21671,5863.73,370,167,15.112706
22971,5811.64,273,166,20.830251
21877,5808.01,350,176,15.697324
22751,5805.22,291,185,19.678712
22740,5793.62,173,90,33.489133
23154,5780.48,236,142,22.938413
62018,5716.85,61,40,93.718852
48129,5699.83,206,127,27.142048
22779,5696.35,150,89,35.602188
23118,5693.56,262,155,20.480432
23553,5684.31,68,51,82.381304
22646,5653.87,393,186,13.925788
21242,5645.63,305,151,18.153151
21257,5639.19,264,101,20.885889
22907,5637.70,671,358,7.951622
22595,5627.58,469,276,11.773180
22838,5603.99,171,120,30.456467
23205,5587.83,468,202,11.641313
22635,5585.14,195,144,27.378137
22466,5571.89,210,115,25.915767
21558,5557.87,413,168,13.016089
22207,5555.59,209,69,26.082582
23526,5550.32,144,80,38.015890
22488,5517.58,416,212,12.921733
22088,5511.85,241,116,22.497347
22837,5504.93,185,109,28.230410
23583,5497.33,326,234,16.216313
23531,5497.01,112,78,48.219386
23052,5489.57,279,148,19.675878
23177,5483.04,268,175,19.723165
22904,5473.16,272,163,19.617061
22366,5470.93,224,105,24.207655
22297,5468.66,378,158,14.058252
23126,5456.79,292,199,17.949967
22964,5451.69,379,219,13.942941
22365,5447.06,183,84,29.603587
22418,5439.25,319,180,16.633792
22798,5431.50,268,127,19.057895
22429,5409.43,377,228,13.422903
23135,5408.77,48,32,112.682708
23158,5393.19,256,97,20.743038
23133,5364.43,156,95,34.387372
22349,5340.27,132,87,39.557556
22464,5332.52,353,194,14.373369
21172,5327.03,471,237,11.006260
22296,5272.47,319,190,15.833243
22998,5240.56,535,219,9.408546
22772,5207.95,255,86,19.727083
22485,5194.80,209,143,24.503774
22898,5174.32,365,202,13.909462
23132,5161.52,153,116,32.667848
22796,5152.38,234,147,19.970465
21164,5144.18,283,167,17.923972
23162,5143.69,176,97,29.225511
22665,5132.93,363,164,13.798199
23263,5125.94,446,270,10.418577
22623,5118.89,237,167,21.065391
21844,5112.04,157,101,30.248757
22302,5106.24,213,135,23.531060
22845,5076.11,317,156,15.523272
23295,5067.64,445,251,11.016609
21098,5051.85,253,116,18.370364
23234,5042.21,279,202,17.630105
22371,5035.79,396,146,12.193196
21428,5031.63,263,118,18.704944
21756,5023.98,271,169,17.628000
21907,5004.08,369,209,13.415764
22271,4998.50,303,182,16.072347
23310,4997.28,245,147,20.314146
23165,4993.16,281,168,16.424868
23198,4975.60,476,260,9.891849
22301,4972.43,256,124,18.416407
22957,4951.60,215,180,22.204484
21932,4946.63,447,219,10.824136
23570,4944.37,276,204,16.874983
22120,4943.55,189,122,25.614249
22780,4938.09,133,83,34.775282
84212,4934.87,111,73,44.458288
22142,4934.59,380,260,12.556209
21933,4929.58,411,199,11.599012
23007,4925.07,185,111,26.197181
22110,4908.33,280,117,16.925276
22748,4861.93,437,234,10.780333
21086,4861.90,428,168,11.074943
23503,4861.80,336,285,14.010951
21937,4854.60,255,147,18.529008
21033,4852.02,307,76,15.753312
21390,4848.13,213,121,21.838423
21124,4806.80,241,182,19.304418
22549,4799.83,356,196,13.222672
23351,4775.77,355,243,13.120247
21876,4775.61,334,142,13.842348
23389,4772.24,238,160,19.478531
20677,4743.59,334,134,13.951735
84050,4739.08,259,141,17.749363
22243,4735.14,132,72,34.563066
23569,4731.21,193,153,23.306453
23157,4726.10,166,112,27.161494
23159,4719.76,225,122,20.169915
21258,4711.37,168,64,25.466865
23286,4705.97,223,127,20.915422
22645,4697.28,353,162,12.940165
23241,4694.51,364,184,12.386570
22636,4689.48,199,142,22.016338
23494,4688.96,206,146,21.410776
22082,4683.33,410,251,10.916853
82552,4680.63,364,185,12.616253
37449,4658.06,155,110,25.878111
22745,4651.29,424,217,10.668096
21539,4649.44,242,125,17.813946
85049A,4645.20,360,205,12.622826
22721,4641.68,297,184,15.472267
22813,4640.78,218,117,21.287982
47599A,4636.90,166,103,27.600595
22295,4623.87,251,157,17.715977
23184,4620.95,265,130,17.114630
15056P,4613.07,171,90,26.210625
23176,4596.33,227,160,19.231506
22775,4586.87,239,81,17.847743
23285,4570.71,192,109,23.682435
23397,4559.39,219,140,20.445695
21833,4543.73,170,88,26.417035
22417,4541.24,521,271,8.488299
82551,4537.69,353,157,12.710616
20979,4529.98,326,166,13.130377
22628,4521.01,191,86,22.270985
23168,4494.31,338,141,12.449612
23309,4478.80,408,179,10.296092
21934,4463.78,412,86,10.808184
23275,4462.56,326,172,12.934957
22089,4460.38,273,143,16.160797
22783,4460.13,34,30,131.180294
23530,4453.17,87,61,50.604205
84987,4452.32,335,204,13.133687
23288,4429.06,187,108,23.188796
22781,4417.29,233,122,17.956463
23163,4400.82,210,96,20.856967
23404,4384.61,171,105,23.829402
23556,4375.62,54,47,76.765263
22938,4371.63,187,161,22.768906
22689,4371.57,150,96,28.760329
22946,4361.65,139,67,29.671088
16014,4335.76,54,34,80.291852
22839,4325.27,202,109,20.211542
23349,4325.10,338,215,12.357429
22899,4318.03,315,192,13.493844
84692,4316.46,588,210,7.158308
20975,4309.82,367,232,11.401640
21892,4305.91,413,236,10.155448
21498,4301.42,337,239,12.688555
22327,4292.45,290,107,14.027614
23008,4275.72,134,100,30.760576
22723,4274.67,296,171,14.015311
22626,4236.23,204,135,20.172524
23554,4235.76,57,50,71.792542
23555,4235.76,50,46,78.440000
20970,4224.63,263,142,15.882068
23166,4221.28,248,139,16.235692
22661,4221.16,416,173,9.932141
23237,4209.19,178,132,22.389309
23089,4192.08,226,102,17.763051
23012,4177.36,247,152,16.317813
23558,4175.82,52,44,75.924000
22550,4164.89,221,137,18.760766
20974,4164.08,356,196,11.254270
23144,4161.31,275,181,14.968741
84509A,4159.37,299,104,13.818505
22694,4150.92,406,230,9.906730
22801,4144.25,221,125,17.486287
85049E,4133.07,452,249,8.888323
20682,4125.83,241,141,16.636411
21874,4122.22,296,113,13.559934
23306,4113.23,282,183,14.432386
23050,4112.30,206,117,19.962621
22596,4112.20,263,198,15.008029
23167,4110.82,232,130,16.642996
22489,4072.13,444,233,9.049178
23255,4064.02,159,117,25.086543
21906,4055.92,174,72,22.532889
23340,4053.88,151,113,26.495948
23193,4052.28,176,110,21.669947
21116,4051.79,259,82,15.583808
23314,4035.96,118,88,33.355041
21704,4035.42,249,138,16.013571
22896,4017.86,289,145,13.619864
22219,4015.88,546,191,7.158431
72351B,4005.75,187,89,20.863281
23194,4003.12,215,143,17.480873
23129,3995.35,173,139,23.094509
22577,3992.89,540,345,7.155717
22431,3987.01,337,160,11.623936
20675,3969.37,323,151,12.138746
22274,3953.48,268,169,14.324203
23130,3951.63,185,140,21.245323
22131,3950.24,292,116,13.037096
22951,3944.55,438,238,8.612555
23112,3936.77,242,135,15.083410
22841,3918.35,215,158,17.492634
22649,3912.96,204,88,17.012870
72760B,3902.26,154,106,25.014487
21041,3900.78,256,101,14.664586
22148,3899.90,187,149,20.102577
22117,3896.45,96,59,40.588021
22061,3895.36,147,88,24.045432
21716,3893.32,245,113,15.762429
23552,3883.99,116,94,31.322500
22222,3879.84,222,105,17.476757
84792,3864.28,242,127,15.581774
21749,3860.29,141,81,26.995035
23081,3831.00,140,81,26.790210
22350,3819.57,124,64,30.556560
23131,3815.23,119,92,31.272377
21243,3813.64,211,104,17.988868
23032,3800.88,201,118,17.355616
84078A,3796.20,156,80,23.289571
22980,3790.91,292,199,12.511254
23110,3771.57,256,159,13.233579
22578,3765.19,514,335,7.024608
22942,3764.39,153,117,22.677048
21244,3763.97,199,109,18.633515
23299,3754.13,147,111,25.027533
23049,3752.57,187,104,19.960479
21746,3748.18,227,123,16.225887
22809,3738.80,205,143,17.553052
21110,3726.95,136,63,27.006884
22195,3723.96,374,149,9.748586
22956,3709.38,199,146,17.748230
23182,3706.47,434,141,8.200155
22854,3682.12,163,124,22.048623
21890,3671.06,233,144,15.045328
23127,3665.76,195,147,18.328800
22738,3665.57,276,148,12.952544
22212,3663.14,400,147,8.763493
21531,3655.92,248,144,13.848182
23013,3654.41,224,136,16.028114
23191,3651.99,282,183,12.379627
23092,3649.43,136,97,25.168483
22378,3646.97,294,70,12.320845
22842,3645.70,164,121,20.597175
23497,3642.97,196,151,17.945665
23091,3631.92,212,161,16.286637
23294,3620.26,355,215,9.811003
23542,3612.02,90,56,39.261087
85053,3609.13,318,159,10.491657
22053,3605.17,29,24,124.316207
21658,3597.05,215,84,14.863843
22493,3593.49,221,126,15.760921
21260,3582.48,167,105,21.073412
85132C,3577.44,216,97,16.261091
21494,3576.33,314,80,11.106615
22348,3574.79,359,145,9.820852
22908,3571.28,376,213,9.180668
22812,3569.30,191,99,17.936181
22739,3568.52,319,169,10.912905
23332,3567.46,288,208,11.812781
20717,3536.98,413,151,8.421381
21992,3529.12,437,161,7.773392
22800,3526.99,204,110,16.795190
21715,3507.17,231,117,15.117112
23189,3504.62,142,90,24.507832
23353,3497.60,328,228,10.378635
23557,3496.50,32,26,109.265625
21703,3492.35,295,176,11.487993
22926,3491.90,197,141,16.950971
22688,3484.45,35,27,99.555714
22468,3476.74,154,84,22.430581
21745,3471.98,215,116,15.853790
22890,3466.64,166,98,18.943388
23232,3457.50,239,188,14.054878
21974,3457.15,362,178,9.420027
22065,3448.81,243,133,13.014377
23388,3448.69,154,116,21.966178
21588,3447.60,133,99,24.802878
21385,3445.85,318,154,10.410423
84508A,3445.50,38,18,90.671053
21238,3445.22,388,163,8.613050
22435,3441.75,268,154,12.470109
37370,3436.65,163,74,19.750862
23426,3432.87,207,127,16.269526
22669,3431.50,235,144,14.602128
21497,3430.00,230,177,14.784483
23350,3426.33,306,206,10.842816
22300,3411.76,198,101,16.642732
21527,3410.17,148,103,19.711965
23210,3398.02,193,116,16.104360
22311,3397.86,143,63,22.502384
22029,3392.61,528,235,6.389096
23014,3391.93,210,123,15.703380
23156,3387.93,206,118,15.831449
23354,3382.09,323,236,10.095791
23536,3380.10,86,69,39.303488
47567B,3378.91,134,82,23.143219
79000,3371.69,129,70,25.161866
23085,3357.90,79,65,36.498913
22563,3356.93,282,172,11.496336
21993,3348.34,426,152,7.732887
82580,3347.31,632,211,5.222012
21429,3324.85,291,148,10.865523
22432,3323.32,279,159,11.579512
22653,3321.95,251,75,12.976367
84032A,3308.28,314,80,10.403396
22079,3298.89,324,191,9.876916
22855,3289.23,239,153,13.648257
23239,3283.69,179,126,16.839436
23308,3279.21,382,210,8.322868
22460,3266.00,212,120,14.913242
22567,3249.60,224,136,13.653782
22244,3248.91,161,68,18.999474
22187,3230.98,193,125,16.400914
21463,3230.05,135,78,22.430903
23395,3227.58,212,142,14.281327
22962,3221.94,343,182,8.803115
22746,3219.74,329,180,9.611164
20973,3213.52,359,193,8.569387
23035,3213.04,193,111,16.227475
22967,3212.41,139,123,22.464406
23230,3196.92,236,179,13.376234
22491,3183.63,220,163,14.276368
22430,3166.19,200,132,14.934858
21868,3162.84,309,154,9.822484
22687,3151.72,56,31,56.280714
23323,3148.88,295,211,10.190550
23342,3138.43,164,106,18.906205
23393,3128.46,230,166,12.927521
22848,3126.87,132,69,22.334786
23010,3126.87,112,74,27.428684
21561,3122.28,215,117,14.388387
22465,3110.94,199,121,14.884880
23346,3109.84,185,107,16.454180
22849,3096.90,130,80,22.279856
21381,3095.75,225,89,13.343750
20754,3088.86,306,154,9.964065
21240,3082.47,326,151,9.228952
20828,3079.88,241,117,12.319520
22180,3077.53,158,94,18.103118
23461,3066.11,95,76,28.389907
22606,3063.92,147,113,19.515414
23329,3051.39,234,169,11.646527
21135,3048.50,181,123,16.129630
22604,3044.76,125,78,23.242443
23390,3038.04,164,118,17.766316
23053,3028.56,165,106,18.244337
23051,3021.07,163,96,18.421159
22972,3016.49,230,140,12.516556
22592,3013.62,136,81,21.997226
85184C,3009.22,195,117,15.121709
23231,3008.34,260,191,11.570538
21115,2995.02,162,105,18.042289
21714,2993.15,226,107,12.846137
22644,2986.97,278,148,10.554664
21201,2985.27,103,45,28.162925
23242,2980.95,215,133,13.190044
16161P,2980.42,249,189,11.921680
22331,2971.84,184,104,16.064000
22906,2957.77,252,151,11.161396
21411,2956.53,242,148,11.969757
22894,2951.78,122,83,23.998211
21810,2949.04,254,130,10.882066
22078,2948.41,194,106,14.524187
21918,2943.95,372,194,7.788228
22360,2925.57,218,104,12.139295
22778,2923.70,146,82,17.402976
84568,2923.13,147,19,19.750878
22892,2913.91,201,119,13.366560
22810,2905.58,168,107,16.795260
23211,2903.07,161,83,17.594364
47559b,2893.80,317,153,8.959133
23290,2886.60,215,126,13.302304
21112,2885.13,82,38,35.184512
21313,2882.90,215,98,12.756195
23345,2882.50,175,102,15.925414
22774,2881.94,141,58,19.739315
23111,2877.12,139,81,18.562065
21976,2871.00,394,183,7.036765
85174,2868.60,158,57,17.491463
21990,2865.45,367,129,7.620878
23504,2857.64,208,165,12.930498
22354,2857.59,84,45,34.018929
22165,2855.38,147,28,19.293108
22965,2835.01,237,173,11.618893
23196,2829.19,300,171,9.067917
84968C,2817.11,105,38,26.576509
22426,2813.96,212,105,12.967558
21563,2803.13,159,96,17.629748
21625,2799.01,169,98,16.086264
23212,2790.89,187,105,14.095404
22843,2787.67,129,93,20.347956
22945,2775.17,174,119,15.082446
22777,2766.59,62,38,42.562923
35004B,2763.17,112,33,22.836116
22072,2759.92,164,92,15.248177
23190,2758.60,203,147,13.456585
22224,2755.21,165,90,16.400060
22773,2754.40,191,83,14.053061
22380,2746.16,287,115,9.246330
22476,2743.71,127,62,21.435234
23266,2742.57,320,202,7.995831
23100,2741.88,258,181,10.269213
21985,2737.63,427,263,6.307903
21499,2737.34,218,176,12.442455
22196,2735.13,473,148,5.593313
