,StockCode,TOTAL_REVENUE,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE,pkm$cluster,,,Cluster,Items,Total Revenue,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE,,
66,82482,22531.71,1101,412,19.957228,4,,,,,,,,,,
67,22139,22521.49,968,490,22.680252,4,,,,,,,,,,
68,22697,22433.25,1016,391,20.675806,4,,,,,,,,,,
69,22383,22318.64,1286,436,16.556855,4,,,,,,,,,,
70,84997D,22279.26,547,250,40.070612,4,,,,,,,,,,
71,20727,22219.01,1274,459,16.458526,4,,,,,,,,,,
72,84029E,21866.55,433,229,48.377323,4,,,,,,,,,,
73,20712,21665.96,864,249,24.676492,4,,,,,,,,,,
74,20724,21606.48,1035,336,20.230787,4,,,,,,,,,,
75,20728,21423.13,1151,482,17.897352,4,,,,,,,,,,
76,23202,21410.35,881,378,23.89548,4,,,,,,,,,,
77,23209,21384.37,1100,470,18.840855,4,,,,,,,,,,
78,48194,21345.48,594,287,35.635192,4,,,,,,,,,,
79,22630,21156.49,851,289,24.014177,4,,,,,,,,,,
80,21212,21059.72,1321,637,15.205574,4,,,,,,,,,,
81,82494L,20941.44,977,393,20.858008,4,,,,,,,,,,
82,23206,20814.83,1037,402,19.201873,4,,,,,,,,,,
83,21166,20796.54,725,288,27.877399,4,,,,,,,,,,
84,21928,20670.02,807,265,25.115456,4,,,,,,,,,,
85,21523,20633.99,503,204,40.778636,3,,,,,,,,,,
86,22728,20548.4,784,293,25.368395,4,,,,,,,,,,
87,22659,20272.7,708,215,27.030267,4,,,,,,,,,,
88,21479,19958.52,501,255,38.455723,4,,,,,,,,,,
89,84997B,18955.69,438,203,42.406465,3,,,,,,,,,,
90,22969,18602.75,647,430,28.401145,4,,,,,,,,,,
91,22467,18552.97,685,264,25.38026,4,,,,,,,,,,
92,48185,18472.03,367,144,49.655995,2,,,,,,,,,,
93,20726,18188.48,1019,374,17.142771,4,,,,,,,,,,
94,20914,18089.35,881,361,19.305603,4,,,,,,,,,,
95,15036,18064.16,520,195,34.473588,3,,,,,,,,,,
96,22382,17850.01,1158,492,14.974841,4,,,,,,,,,,
97,22693,17837.45,306,168,58.102443,2,,,,,,,,,,
98,22865,17651.98,657,376,25.61971,4,,,,,,,,,,
99,82486,17620.4,606,237,27.661538,3,,,,,,,,,,
100,21485,17478.69,624,373,26.685023,4,,,,,,,,,,
101,85066,17451.87,520,292,31.444811,3,,,,,,,,,,
102,22328,17438.87,582,229,28.541522,3,,,,,,,,,,
103,71477,17214.94,321,161,48.356573,2,,,,,,,,,,
104,22384,17198.99,1091,446,15.12664,4,,,,,,,,,,
105,22698,17164.26,768,322,20.679831,4,,,,,,,,,,
106,22077,17149.27,956,414,17.392769,4,,,,,,,,,,
107,82583,16913.6,618,207,25.980952,3,,,,,,,,,,
108,22385,16866.72,689,248,24.026667,4,,,,,,,,,,
109,84997C,16840.16,399,203,41.580642,3,,,,,,,,,,
110,23240,16830.82,537,324,29.683986,4,,,,,,,,,,
111,22492,16810.42,381,214,43.103641,3,,,,,,,,,,
112,21754,16727.72,778,361,20.753995,4,,,,,,,,,,
113,20719,16672.35,836,239,19.431643,4,,,,,,,,,,
114,22993,16422.23,1074,432,14.781485,4,,,,,,,,,,
115,21843,16392.39,541,263,28.021179,3,,,,,,,,,,
116,84978,16270.94,729,305,21.213742,4,,,,,,,,,,
117,23301,16188.15,914,406,17.276574,4,,,,,,,,,,
118,22835,16143.56,658,318,23.775493,4,,,,,,,,,,
119,84029G,16106.04,461,213,33.978987,3,,,,,,,,,,
120,15056B,15954.47,384,143,41.119768,3,,,,,,,,,,
121,85152,15848.11,680,271,23.035044,4,,,,,,,,,,
122,21232,15820.55,832,315,17.500608,4,,,,,,,,,,
123,22624,15642.18,716,377,21.109555,4,,,,,,,,,,
124,22379,15514.34,749,189,20.413605,3,,,,,,,,,,
125,23313,15290.16,402,255,36.843759,3,,,,,,,,,,
126,22084,15002.02,446,279,32.827177,3,,,,,,,,,,
127,22900,14423.33,534,195,25.57328,3,,,,,,,,,,
128,22866,14201.52,554,331,24.070373,3,,,,,,,,,,
129,22501,14041.48,456,188,29.623376,3,,,,,,,,,,
130,22507,14028.06,460,231,30.232888,3,,,,,,,,,,
131,21930,14024.92,706,221,19.479056,3,,,,,,,,,,
132,48184,14018.18,412,228,33.697548,3,,,,,,,,,,
133,22083,13994.34,611,296,22.607981,3,,,,,,,,,,
134,22867,13967.39,557,334,24.248941,3,,,,,,,,,,
135,23200,13953.65,597,263,22.912397,3,,,,,,,,,,
136,82483,13892.76,547,244,23.039403,3,,,,,,,,,,
137,23077,13645.77,345,218,39.211983,3,,,,,,,,,,
138,84077,13587.93,536,308,25.069982,3,,,,,,,,,,
139,22551,13567.46,674,340,19.465509,4,,,,,,,,,,
140,23343,13473.27,482,287,26.892754,3,,,,,,,,,,
141,23356,13377.27,477,317,26.647948,3,,,,,,,,,,
142,22554,13296.92,705,353,18.239945,4,,,,,,,,,,
143,22558,13279.46,773,365,16.766995,4,,,,,,,,,,
144,23328,13254.85,406,196,31.710167,3,,,,,,,,,,
145,22625,13131.45,554,294,22.718772,3,,,,,,,,,,
146,21524,12931.98,481,252,26.445767,3,,,,,,,,,,
147,23108,12923.67,373,272,32.884656,3,,,,,,,,,,
148,22752,12888.48,381,189,33.132339,3,,,,,,,,,,
149,82600,12761.98,548,222,22.953201,3,,,,,,,,,,
150,22622,12733.23,268,175,46.813346,2,,,,,,,,,,
151,22941,12718.26,312,216,38.192973,3,,,,,,,,,,
152,23207,12700.6,741,378,16.282821,4,,,,,,,,,,
153,22113,12694.13,562,340,21.334672,3,,,,,,,,,,
154,22499,12595.03,408,218,30.570461,3,,,,,,,,,,
155,20723,12489.69,723,233,16.832466,3,,,,,,,,,,
156,20750,12487.94,386,236,31.938465,3,,,,,,,,,,
157,22188,12483.22,190,124,65.357173,2,,,,,,,,,,
158,20749,12457.26,384,240,31.617411,3,,,,,,,,,,
159,21790,12443.71,927,450,13.181896,4,,,,,,,,,,
160,21755,12376.29,630,338,18.866296,3,,,,,,,,,,
161,22171,12294.17,386,174,30.281207,3,,,,,,,,,,
162,22427,12267.56,511,312,23.190095,3,,,,,,,,,,
163,21977,12189.47,870,412,13.604319,4,,,,,,,,,,
164,22607,12153.18,359,225,33.20541,3,,,,,,,,,,
165,47590B,12042.67,404,239,29.3009,3,,,,,,,,,,
166,23174,12005.53,323,193,35.103889,3,,,,,,,,,,
167,22502,11911.26,470,176,24.610041,3,,,,,,,,,,
168,22158,11873.13,305,202,36.645463,3,,,,,,,,,,
169,48188,11844.78,288,165,40.703711,2,,,,,,,,,,
170,21430,11784.42,478,189,23.855101,3,,,,,,,,,,
171,22087,11669.43,331,156,33.726676,3,,,,,,,,,,
172,23300,11584.09,759,352,14.851397,4,,,,,,,,,,
173,21936,11513.99,532,224,21.087894,3,,,,,,,,,,
174,21108,11477.86,263,161,42.510593,2,,,,,,,,,,
175,22568,11411.32,473,246,23.288408,3,,,,,,,,,,
176,23581,11388.27,339,231,32.079634,3,,,,,,,,,,
177,22193,11363.56,461,208,24.075339,3,,,,,,,,,,
178,21080,11304.91,987,428,11.137842,4,,,,,,,,,,
179,22730,11284.65,571,243,18.997727,3,,,,,,,,,,
180,22041,11260.81,362,74,30.5171,2,,,,,,,,,,
181,21481,11225.27,491,256,21.881618,3,,,,,,,,,,
182,22356,11218.76,744,221,14.438559,3,,,,,,,,,,
183,22149,11215.58,552,338,19.607657,3,,,,,,,,,,
184,21216,11100.33,431,151,24.722339,3,,,,,,,,,,
185,22662,11062.53,683,313,15.669306,3,,,,,,,,,,
186,20971,11059.33,523,278,20.556375,3,,,,,,,,,,
187,22413,11051.69,413,229,26.188839,3,,,,,,,,,,
188,85014B,11027.14,374,212,29.172328,3,,,,,,,,,,
189,22776,10996.07,537,334,19.024343,3,,,,,,,,,,
190,20711,10974.31,526,153,20.551142,3,,,,,,,,,,
191,22692,10824.43,449,232,23.947854,3,,,,,,,,,,
192,22988,10805.53,423,199,24.391716,3,,,,,,,,,,
193,84997A,10762.67,326,144,32.813018,3,,,,,,,,,,
194,71459,10753.01,441,227,23.789845,3,,,,,,,,,,
195,22617,10550.9,467,301,21.79938,3,,,,,,,,,,
196,22734,10534.9,430,279,23.568009,3,,,,,,,,,,
197,21791,10490.65,609,343,17.002674,3,,,,,,,,,,
198,84755,10473.4,622,319,16.364688,3,,,,,,,,,,
199,21891,10466.68,428,266,23.156372,3,,,,,,,,,,
200,22570,10395.12,392,203,25.794342,3,,,,,,,,,,
201,23208,10388.16,669,306,15.011792,3,,,,,,,,,,
202,47590A,10359.96,391,229,26.294315,3,,,,,,,,,,
203,21914,10298.56,604,308,16.745626,3,,,,,,,,,,
204,84947,10258.98,348,179,27.652237,3,,,,,,,,,,
205,21217,10237.44,345,170,29.083636,3,,,,,,,,,,
206,22970,10191.15,318,181,31.070579,3,,,,,,,,,,
207,48173C,10074.83,197,107,49.875396,2,,,,,,,,,,
208,23170,10070.75,446,226,21.988537,3,,,,,,,,,,
209,23582,10010.77,260,187,37.214758,3,,,,,,,,,,
210,22633,10002.72,481,302,19.385116,3,,,,,,,,,,
211,22621,9992.2,610,367,15.98752,3,,,,,,,,,,
212,85048,9992.12,262,174,35.06007,2,,,,,,,,,,
213,22556,9961.21,572,307,16.854839,3,,,,,,,,,,
214,21218,9951.24,395,132,24.33066,3,,,,,,,,,,
215,23076,9930.76,278,203,35.467,3,,,,,,,,,,
216,22619,9906.29,448,251,21.772066,3,,,,,,,,,,
217,23171,9905.74,382,196,25.530258,3,,,,,,,,,,
218,22555,9828.63,516,295,18.405674,3,,,,,,,,,,
219,22690,9819.51,287,199,33.513686,3,,,,,,,,,,
220,20679,9776.38,327,143,29.625394,3,,,,,,,,,,
221,22791,9771.13,347,185,26.992072,3,,,,,,,,,,
222,21559,9712.88,576,234,16.242274,3,,,,,,,,,,
223,22766,9687.24,505,281,18.174934,3,,,,,,,,,,
224,22560,9601.26,390,230,24.555652,3,,,,,,,,,,
225,22144,9588.78,545,320,17.031581,3,,,,,,,,,,
226,21314,9541.43,542,217,16.310137,3,,,,,,,,,,
227,22569,9474.95,350,194,26.392618,3,,,,,,,,,,
228,21340,9467.3,291,180,31.452824,3,,,,,,,,,,
229,35970,9425.36,458,271,19.759665,3,,,,,,,,,,
230,21174,9413.82,541,226,17.116036,3,,,,,,,,,,
231,22952,9384.32,620,344,14.371087,3,,,,,,,,,,
232,84375,9376.85,519,291,17.592589,3,,,,,,,,,,
233,85150,9376.23,480,197,19.292654,3,,,,,,,,,,
234,23175,9374.65,332,207,27.172899,3,,,,,,,,,,
235,22169,9347.08,373,166,23.966872,3,,,,,,,,,,
236,22561,9344.82,434,289,20.812517,3,,,,,,,,,,
237,22978,9296.12,239,154,37.036335,2,,,,,,,,,,
238,22749,9264.91,449,276,19.754606,3,,,,,,,,,,
239,22456,9221.19,477,221,18.045382,3,,,,,,,,,,
240,22966,9205.9,673,389,13.284127,3,,,,,,,,,,
241,47566B,9199.52,471,194,19.125821,3,,,,,,,,,,
242,22992,9186.44,349,218,25.031172,3,,,,,,,,,,
243,22191,9184.3,416,242,20.826077,3,,,,,,,,,,
244,20972,9129.31,617,313,14.422291,3,,,,,,,,,,
245,84991,9088.02,829,416,10.434007,4,,,,,,,,,,
246,23319,9021.87,404,301,21.227929,3,,,,,,,,,,
247,22771,9012.94,442,170,19.678908,3,,,,,,,,,,
248,22759,9004.34,426,254,20.280045,3,,,,,,,,,,
249,22654,9001.89,329,160,26.092435,3,,,,,,,,,,
250,22729,8964.31,447,182,18.912046,3,,,,,,,,,,
251,23439,8941.61,397,269,21.039082,3,,,,,,,,,,
252,22632,8936.28,395,263,21.533205,3,,,,,,,,,,
253,22989,8934.27,373,242,23.327076,3,,,,,,,,,,
254,21889,8829.79,589,337,14.546606,3,,,,,,,,,,
255,82582,8823.09,439,178,19.782713,3,,,,,,,,,,
256,23318,8798.68,377,271,22.503018,3,,,,,,,,,,
257,21155,8790.8,486,207,17.373123,3,,,,,,,,,,
258,23322,8755.56,564,351,14.74,3,,,,,,,,,,
259,48116,8748.46,204,89,42.468252,2,,,,,,,,,,
260,84945,8657.94,348,210,23.274032,3,,,,,,,,,,
261,22847,8601.39,379,215,21.030293,3,,,,,,,,,,
262,22652,8595.57,469,264,17.944823,3,,,,,,,,,,
263,23080,8576.76,258,149,31.648561,2,,,,,,,,,,
264,22273,8503.69,332,213,24.720029,3,,,,,,,,,,
265,23493,8498.28,416,283,19.626513,3,,,,,,,,,,
266,23078,8493.34,258,160,32.792819,2,,,,,,,,,,
267,23082,8474.35,298,206,27.074601,3,,,,,,,,,,
268,84378,8450.9,686,377,12.072714,3,,,,,,,,,,
269,23321,8408.92,630,379,12.798965,3,,,,,,,,,,
270,21213,8392.04,664,296,12.37764,3,,,,,,,,,,
271,21484,8385.7,404,207,19.82435,3,,,,,,,,,,
272,22424,8369.69,455,190,17.694905,3,,,,,,,,,,
273,23256,8337.37,369,233,21.825576,3,,,,,,,,,,
274,22844,8313.44,417,177,19.378648,3,,,,,,,,,,
275,71053,8302.05,334,150,23.386056,3,,,,,,,,,,
276,21210,8200.54,455,245,17.711749,3,,,,,,,,,,
277,72741,8188.75,293,197,27.025578,3,,,,,,,,,,
278,84970S,8148.7,604,272,13.314869,3,,,,,,,,,,
279,22795,8125.35,370,171,21.609973,3,,,,,,,,,,
280,23534,8081.25,261,160,30.610795,2,,,,,,,,,,
281,84380,8062.71,689,326,11.404116,3,,,,,,,,,,
282,21035,7999.85,395,152,19.850744,3,,,,,,,,,,
283,22725,7978.88,429,175,17.613422,3,,,,,,,,,,
284,22616,7972.76,514,196,15.014614,3,,,,,,,,,,
285,21121,7913.85,380,239,20.188393,3,,,,,,,,,,
286,23535,7910.2,216,136,35.79276,2,,,,,,,,,,
287,21770,7909.08,389,264,20.176224,3,,,,,,,,,,
288,22909,7855.34,611,369,12.273969,3,,,,,,,,,,
289,22940,7854.5,322,242,23.169617,3,,,,,,,,,,
290,22667,7840.4,466,234,15.6808,3,,,,,,,,,,
291,22352,7832.92,483,186,15.728755,3,,,,,,,,,,
292,22192,7801.17,367,181,20.914665,3,,,,,,,,,,
293,21136,7784.64,372,260,20.325431,3,,,,,,,,,,
294,23238,7759.96,275,151,26.484505,3,,,,,,,,,,
295,22557,7732.54,567,317,13.128251,3,,,,,,,,,,
296,22605,7732.26,300,183,25.186515,3,,,,,,,,,,
297,21908,7701.82,469,221,16.112594,3,,,,,,,,,,
298,22804,7680.2,476,254,15.484274,3,,,,,,,,,,
299,23204,7603.6,584,200,12.800673,3,,,,,,,,,,
300,22768,7591.26,261,187,26.450383,3,,,,,,,,,,
301,22750,7540.58,414,248,17.618178,3,,,,,,,,,,
302,22147,7523.29,483,288,14.838836,3,,,,,,,,,,
303,22585,7505.39,396,242,17.869976,3,,,,,,,,,,
304,84406B,7494.82,288,135,25.320338,2,,,,,,,,,,
305,22173,7493.93,497,211,14.722849,3,,,,,,,,,,
306,22367,7450.08,553,301,13.001885,3,,,,,,,,,,
307,21231,7440.45,510,217,13.702486,3,,,,,,,,,,
308,21668,7424.99,438,171,16.211769,3,,,,,,,,,,
309,84836,7383.07,536,312,13.375127,3,,,,,,,,,,
310,22381,7381.49,470,135,15.314295,3,,,,,,,,,,
311,48111,7378.67,235,112,31.002815,2,,,,,,,,,,
312,21955,7340.82,206,109,34.956286,2,,,,,,,,,,
313,22741,7320.51,234,108,30.888228,2,,,,,,,,,,
314,84030E,7314.81,376,199,18.755923,3,,,,,,,,,,
315,23382,7292.43,221,137,32.555491,2,,,,,,,,,,
316,21169,7291.14,452,193,15.513064,3,,,,,,,,,,
317,84949,7230.09,291,167,21.975957,3,,,,,,,,,,
318,22487,7145.11,430,279,15.984586,3,,,,,,,,,,
319,22631,7143.02,398,169,17.379611,3,,,,,,,,,,
320,22627,7085.94,366,195,18.549581,3,,,,,,,,,,
321,21912,7062.7,398,202,17.612718,3,,,,,,,,,,
322,22968,7045.28,193,119,34.705813,2,,,,,,,,,,
323,23083,7040.48,247,163,27.827984,2,,,,,,,,,,
324,22553,7038.07,562,284,11.868583,3,,,,,,,,,,
325,22505,7035.56,312,188,21.849565,3,,,,,,,,,,
326,23320,7034.59,334,261,20.331185,3,,,,,,,,,,
327,22663,7031.83,451,172,15.488612,3,,,,,,,,,,
328,21669,7020.99,426,168,15.567605,3,,,,,,,,,,
329,23236,7010.84,328,204,19.693371,3,,,,,,,,,,
330,DOT,6990.35,710,2,9.845563,3,,,,,,,,,,
331,22637,6985.18,332,192,19.511676,3,,,,,,,,,,
332,23293,6975.43,553,324,12.302346,3,,,,,,,,,,
333,23543,6965.89,103,82,65.715943,2,,,,,,,,,,
334,21094,6933.26,527,180,13.032444,3,,,,,,,,,,
335,21165,6918.8,452,179,15.04087,3,,,,,,,,,,
336,22333,6911.94,318,170,20.694431,3,,,,,,,,,,
337,21259,6880.72,287,135,23.245676,3,,,,,,,,,,
338,21326,6876.82,341,169,19.371324,3,,,,,,,,,,
339,22294,6858.83,300,163,21.636688,3,,,,,,,,,,
340,23254,6849.16,300,205,21.743365,3,,,,,,,,,,
341,22834,6830.18,369,200,17.694767,3,,,,,,,,,,
342,23215,6829.84,211,163,31.473917,2,,,,,,,,,,
343,84970L,6820.35,508,235,13.373235,3,,,,,,,,,,
344,22109,6814.26,298,102,22.196287,2,,,,,,,,,,
345,23103,6813.16,366,232,17.650674,3,,,,,,,,,,
346,23283,6789.33,235,147,28.768347,2,,,,,,,,,,
347,22620,6776.56,485,261,13.60755,3,,,,,,,,,,
348,85014A,6755.08,293,185,22.976463,3,,,,,,,,,,
349,23297,6749.33,162,124,40.41515,2,,,,,,,,,,
350,21787,6743.65,244,116,26.760516,2,,,,,,,,,,
351,21672,6738.35,410,160,15.817723,3,,,,,,,,,,
352,47591D,6728.59,497,253,13.403566,3,,,,,,,,,,
353,22950,6719.35,186,157,35.365,2,,,,,,,,,,
354,22767,6714.37,219,155,28.571787,2,,,,,,,,,,
355,21922,6704.88,209,114,31.776682,2,,,,,,,,,,
356,22170,6699.15,266,143,24.811667,2,,,,,,,,,,
357,23229,6698.82,257,188,25.665977,3,,,,,,,,,,
358,22840,6662.52,272,195,23.053702,3,,,,,,,,,,
359,23480,6658.54,216,144,29.858924,2,,,,,,,,,,
360,84988,6653.85,512,210,12.920097,3,,,,,,,,,,
361,22634,6648.93,223,157,26.59572,2,,,,,,,,,,
362,23109,6639.33,269,179,23.882482,3,,,,,,,,,,
363,82001S,6634.8,155,50,41.728302,2,,,,,,,,,,
364,75049L,6623.78,206,72,28.674372,2,,,,,,,,,,
365,21888,6610.79,383,212,16.994319,3,,,,,,,,,,
366,23247,6597.39,310,232,20.616844,3,,,,,,,,,,
367,20718,6570.05,576,238,11.211689,3,,,,,,,,,,
368,23541,6567.76,154,98,42.647792,2,,,,,,,,,,
369,22943,6555.63,213,134,29.136133,2,,,,,,,,,,
370,22668,6553.42,346,163,18.670712,3,,,,,,,,,,
371,21533,6552.6,340,214,18.151247,3,,,,,,,,,,
372,22179,6549.54,290,100,21.904816,2,,,,,,,,,,
373,22947,6537.84,139,82,46.041127,2,,,,,,,,,,
374,22580,6508.78,248,131,25.726403,2,,,,,,,,,,
375,84992,6493.19,616,326,9.989523,3,,,,,,,,,,
376,22508,6462.13,297,180,21.257007,3,,,,,,,,,,
377,23311,6449.95,345,247,18.375926,3,,,,,,,,,,
378,22141,6440.69,458,257,13.616681,3,,,,,,,,,,
379,23571,6436.61,257,196,24.017201,3,,,,,,,,,,
380,21122,6434.79,345,216,17.974274,3,,,,,,,,,,
381,23188,6427.97,334,208,18.795234,3,,,,,,,,,,
382,23134,6424.47,40,30,160.61175,1,,,,,,,,,,
383,22991,6422.89,275,186,22.379408,3,,,,,,,,,,
384,20676,6413.56,449,187,13.972898,3,,,,,,,,,,
385,22846,6378.62,279,159,21.549392,3,,,,,,,,,,
386,22895,6332.25,285,164,21.685788,3,,,,,,,,,,
387,23307,6331.19,630,367,9.607269,3,,,,,,,,,,
388,21380,6313.41,291,139,21.474184,3,,,,,,,,,,
389,21935,6296.96,531,122,11.836391,3,,,,,,,,,,
390,23169,6291.99,317,204,17.824334,3,,,,,,,,,,
391,22979,6284.42,382,226,15.909924,3,,,,,,,,,,
392,20969,6256.86,306,158,20.118521,3,,,,,,,,,,
393,23172,6206.61,306,161,19.703524,3,,,,,,,,,,
394,22303,6182.4,262,157,22.646154,3,,,,,,,,,,
395,22784,6148.22,302,195,18.19,3,,,,,,,,,,
396,23192,6137.34,346,225,17.095655,3,,,,,,,,,,
397,21154,6094.76,452,176,13.163629,3,,,,,,,,,,
398,21975,6081.85,602,290,9.488066,3,,,,,,,,,,
399,21670,6045.04,377,160,15.500103,3,,,,,,,,,,
401,21156,6017,359,204,16.306233,3,,,,,,,,,,
402,22174,6013.43,321,105,18.167462,5,,,,,,,,,,
403,22151,6010.33,333,176,17.421246,3,,,,,,,,,,
404,17003,6006.42,240,137,24.516,2,,,,,,,,,,
405,23312,5964.15,215,169,27.109773,2,,,,,,,,,,
406,23296,5954.3,379,244,15.306684,3,,,,,,,,,,
407,21871,5940.27,358,136,15.883075,3,,,,,,,,,,
408,21535,5930.81,345,206,16.029216,3,,,,,,,,,,
409,21673,5927.8,368,156,15.356995,3,,,,,,,,,,
410,22584,5916.36,197,128,29.434627,2,,,,,,,,,,
411,22150,5903.94,469,289,12.223478,3,,,,,,,,,,
412,21671,5863.73,370,167,15.112706,3,,,,,,,,,,
413,22971,5811.64,273,166,20.830251,3,,,,,,,,,,
414,21877,5808.01,350,176,15.697324,3,,,,,,,,,,
415,22751,5805.22,291,185,19.678712,3,,,,,,,,,,
416,22740,5793.62,173,90,33.489133,2,,,,,,,,,,
417,23154,5780.48,236,142,22.938413,2,,,,,,,,,,
418,62018,5716.85,61,40,93.718852,1,,,,,,,,,,
419,48129,5699.83,206,127,27.142048,2,,,,,,,,,,
420,22779,5696.35,150,89,35.602188,2,,,,,,,,,,
421,23118,5693.56,262,155,20.480432,3,,,,,,,,,,
422,23553,5684.31,68,51,82.381304,1,,,,,,,,,,
423,22646,5653.87,393,186,13.925788,3,,,,,,,,,,
424,21242,5645.63,305,151,18.153151,3,,,,,,,,,,
425,21257,5639.19,264,101,20.885889,2,,,,,,,,,,
426,22907,5637.7,671,358,7.951622,3,,,,,,,,,,
427,22595,5627.58,469,276,11.77318,3,,,,,,,,,,
428,22838,5603.99,171,120,30.456467,2,,,,,,,,,,
429,23205,5587.83,468,202,11.641313,3,,,,,,,,,,
430,22635,5585.14,195,144,27.378137,2,,,,,,,,,,
431,22466,5571.89,210,115,25.915767,2,,,,,,,,,,
432,21558,5557.87,413,168,13.016089,3,,,,,,,,,,
433,22207,5555.59,209,69,26.082582,2,,,,,,,,,,
434,23526,5550.32,144,80,38.01589,2,,,,,,,,,,
435,22488,5517.58,416,212,12.921733,3,,,,,,,,,,
