StockCode,TOTAL_REVENUE,BASKETS,DISTINCT_CUSTOMERS,AVERAGE_PRICE,ITEM_POPULARITY
85014B,11027.14,374,212,29.172328,1.7642
22776,10996.07,537,334,19.024343,1.6078
20711,10974.31,526,153,20.551142,3.4379
22692,10824.43,449,232,23.947854,1.9353
22988,10805.53,423,199,24.391716,2.1256
84997A,10762.67,326,144,32.813018,2.2639
71459,10753.01,441,227,23.789845,1.9427
22617,10550.90,467,301,21.799380,1.5515
22734,10534.90,430,279,23.568009,1.5412
21791,10490.65,609,343,17.002674,1.7755
84755,10473.40,622,319,16.364688,1.9498
21891,10466.68,428,266,23.156372,1.6090
22570,10395.12,392,203,25.794342,1.9310
23208,10388.16,669,306,15.011792,2.1863
47590A,10359.96,391,229,26.294315,1.7074
21914,10298.56,604,308,16.745626,1.9610
84947,10258.98,348,179,27.652237,1.9441
21217,10237.44,345,170,29.083636,2.0294
22970,10191.15,318,181,31.070579,1.7569
48173C,10074.83,197,107,49.875396,1.8411
23170,10070.75,446,226,21.988537,1.9735
23582,10010.77,260,187,37.214758,1.3904
22633,10002.72,481,302,19.385116,1.5927
22621,9992.20,610,367,15.987520,1.6621
85048,9992.12,262,174,35.060070,1.5057
22556,9961.21,572,307,16.854839,1.8632
21218,9951.24,395,132,24.330660,2.9924
23076,9930.76,278,203,35.467000,1.3695
22619,9906.29,448,251,21.772066,1.7849
23171,9905.74,382,196,25.530258,1.9490
22555,9828.63,516,295,18.405674,1.7492
22690,9819.51,287,199,33.513686,1.4422
20679,9776.38,327,143,29.625394,2.2867
22791,9771.13,347,185,26.992072,1.8757
21559,9712.88,576,234,16.242274,2.4615
22766,9687.24,505,281,18.174934,1.7972
22560,9601.26,390,230,24.555652,1.6957
22144,9588.78,545,320,17.031581,1.7031
21314,9541.43,542,217,16.310137,2.4977
22569,9474.95,350,194,26.392618,1.8041
21340,9467.30,291,180,31.452824,1.6167
35970,9425.36,458,271,19.759665,1.6900
21174,9413.82,541,226,17.116036,2.3938
22952,9384.32,620,344,14.371087,1.8023
84375,9376.85,519,291,17.592589,1.7835
85150,9376.23,480,197,19.292654,2.4365
23175,9374.65,332,207,27.172899,1.6039
22169,9347.08,373,166,23.966872,2.2470
22561,9344.82,434,289,20.812517,1.5017
22978,9296.12,239,154,37.036335,1.5519
22749,9264.91,449,276,19.754606,1.6268
22456,9221.19,477,221,18.045382,2.1584
22966,9205.90,673,389,13.284127,1.7301
47566B,9199.52,471,194,19.125821,2.4278
22992,9186.44,349,218,25.031172,1.6009
22191,9184.30,416,242,20.826077,1.7190
20972,9129.31,617,313,14.422291,1.9712
84991,9088.02,829,416,10.434007,1.9928
23319,9021.87,404,301,21.227929,1.3422
22771,9012.94,442,170,19.678908,2.6000
22759,9004.34,426,254,20.280045,1.6772
22654,9001.89,329,160,26.092435,2.0563
22729,8964.31,447,182,18.912046,2.4560
23439,8941.61,397,269,21.039082,1.4758
22632,8936.28,395,263,21.533205,1.5019
22989,8934.27,373,242,23.327076,1.5413
21889,8829.79,589,337,14.546606,1.7478
82582,8823.09,439,178,19.782713,2.4663
23318,8798.68,377,271,22.503018,1.3911
21155,8790.80,486,207,17.373123,2.3478
23322,8755.56,564,351,14.740000,1.6068
48116,8748.46,204,89,42.468252,2.2921
84945,8657.94,348,210,23.274032,1.6571
22847,8601.39,379,215,21.030293,1.7628
22652,8595.57,469,264,17.944823,1.7765
23080,8576.76,258,149,31.648561,1.7315
22273,8503.69,332,213,24.720029,1.5587
23493,8498.28,416,283,19.626513,1.4700
23078,8493.34,258,160,32.792819,1.6125
23082,8474.35,298,206,27.074601,1.4466
84378,8450.90,686,377,12.072714,1.8196
23321,8408.92,630,379,12.798965,1.6623
21213,8392.04,664,296,12.377640,2.2432
21484,8385.70,404,207,19.824350,1.9517
22424,8369.69,455,190,17.694905,2.3947
23256,8337.37,369,233,21.825576,1.5837
22844,8313.44,417,177,19.378648,2.3559
71053,8302.05,334,150,23.386056,2.2267
21210,8200.54,455,245,17.711749,1.8571
72741,8188.75,293,197,27.025578,1.4873
84970S,8148.70,604,272,13.314869,2.2206
22795,8125.35,370,171,21.609973,2.1637
23534,8081.25,261,160,30.610795,1.6313
84380,8062.71,689,326,11.404116,2.1135
21035,7999.85,395,152,19.850744,2.5987
22725,7978.88,429,175,17.613422,2.4514
22616,7972.76,514,196,15.014614,2.6224
21121,7913.85,380,239,20.188393,1.5900
23535,7910.20,216,136,35.792760,1.5882
21770,7909.08,389,264,20.176224,1.4735
22909,7855.34,611,369,12.273969,1.6558
22940,7854.50,322,242,23.169617,1.3306
22667,7840.40,466,234,15.680800,1.9915
22352,7832.92,483,186,15.728755,2.5968
22192,7801.17,367,181,20.914665,2.0276
21136,7784.64,372,260,20.325431,1.4308
23238,7759.96,275,151,26.484505,1.8212
22557,7732.54,567,317,13.128251,1.7886
22605,7732.26,300,183,25.186515,1.6393
21908,7701.82,469,221,16.112594,2.1222
22804,7680.20,476,254,15.484274,1.8740
23204,7603.60,584,200,12.800673,2.9200
22768,7591.26,261,187,26.450383,1.3957
22750,7540.58,414,248,17.618178,1.6694
22147,7523.29,483,288,14.838836,1.6771
22585,7505.39,396,242,17.869976,1.6364
84406B,7494.82,288,135,25.320338,2.1333
22173,7493.93,497,211,14.722849,2.3555
22367,7450.08,553,301,13.001885,1.8372
21231,7440.45,510,217,13.702486,2.3502
21668,7424.99,438,171,16.211769,2.5614
84836,7383.07,536,312,13.375127,1.7179
22381,7381.49,470,135,15.314295,3.4815
48111,7378.67,235,112,31.002815,2.0982
21955,7340.82,206,109,34.956286,1.8899
22741,7320.51,234,108,30.888228,2.1667
84030E,7314.81,376,199,18.755923,1.8894
23382,7292.43,221,137,32.555491,1.6131
21169,7291.14,452,193,15.513064,2.3420
84949,7230.09,291,167,21.975957,1.7425
22487,7145.11,430,279,15.984586,1.5412
22631,7143.02,398,169,17.379611,2.3550
22627,7085.94,366,195,18.549581,1.8769
21912,7062.70,398,202,17.612718,1.9703
22968,7045.28,193,119,34.705813,1.6218
23083,7040.48,247,163,27.827984,1.5153
22553,7038.07,562,284,11.868583,1.9789
22505,7035.56,312,188,21.849565,1.6596
23320,7034.59,334,261,20.331185,1.2797
22663,7031.83,451,172,15.488612,2.6221
21669,7020.99,426,168,15.567605,2.5357
23236,7010.84,328,204,19.693371,1.6078
DOT,6990.35,710,2,9.845563,355.0000
22637,6985.18,332,192,19.511676,1.7292
23293,6975.43,553,324,12.302346,1.7068
23543,6965.89,103,82,65.715943,1.2561
21094,6933.26,527,180,13.032444,2.9278
21165,6918.80,452,179,15.040870,2.5251
22333,6911.94,318,170,20.694431,1.8706
21259,6880.72,287,135,23.245676,2.1259
21326,6876.82,341,169,19.371324,2.0178
22294,6858.83,300,163,21.636688,1.8405
23254,6849.16,300,205,21.743365,1.4634
22834,6830.18,369,200,17.694767,1.8450
23215,6829.84,211,163,31.473917,1.2945
84970L,6820.35,508,235,13.373235,2.1617
22109,6814.26,298,102,22.196287,2.9216
23103,6813.16,366,232,17.650674,1.5776
23283,6789.33,235,147,28.768347,1.5986
22620,6776.56,485,261,13.607550,1.8582
85014A,6755.08,293,185,22.976463,1.5838
23297,6749.33,162,124,40.415150,1.3065
21787,6743.65,244,116,26.760516,2.1034
21672,6738.35,410,160,15.817723,2.5625
47591D,6728.59,497,253,13.403566,1.9644
22950,6719.35,186,157,35.365000,1.1847
22767,6714.37,219,155,28.571787,1.4129
21922,6704.88,209,114,31.776682,1.8333
22170,6699.15,266,143,24.811667,1.8601
23229,6698.82,257,188,25.665977,1.3670
22840,6662.52,272,195,23.053702,1.3949
23480,6658.54,216,144,29.858924,1.5000
84988,6653.85,512,210,12.920097,2.4381
22634,6648.93,223,157,26.595720,1.4204
23109,6639.33,269,179,23.882482,1.5028
82001S,6634.80,155,50,41.728302,3.1000
75049L,6623.78,206,72,28.674372,2.8611
21888,6610.79,383,212,16.994319,1.8066
23247,6597.39,310,232,20.616844,1.3362
20718,6570.05,576,238,11.211689,2.4202
23541,6567.76,154,98,42.647792,1.5714
22943,6555.63,213,134,29.136133,1.5896
22668,6553.42,346,163,18.670712,2.1227
21533,6552.60,340,214,18.151247,1.5888
22179,6549.54,290,100,21.904816,2.9000
22947,6537.84,139,82,46.041127,1.6951
22580,6508.78,248,131,25.726403,1.8931
84992,6493.19,616,326,9.989523,1.8896
22508,6462.13,297,180,21.257007,1.6500
23311,6449.95,345,247,18.375926,1.3968
22141,6440.69,458,257,13.616681,1.7821
23571,6436.61,257,196,24.017201,1.3112
21122,6434.79,345,216,17.974274,1.5972
23188,6427.97,334,208,18.795234,1.6058
23134,6424.47,40,30,160.611750,1.3333
22991,6422.89,275,186,22.379408,1.4785
20676,6413.56,449,187,13.972898,2.4011
22846,6378.62,279,159,21.549392,1.7547
22895,6332.25,285,164,21.685788,1.7378
23307,6331.19,630,367,9.607269,1.7166
21380,6313.41,291,139,21.474184,2.0935
21935,6296.96,531,122,11.836391,4.3525
23169,6291.99,317,204,17.824334,1.5539
22979,6284.42,382,226,15.909924,1.6903
20969,6256.86,306,158,20.118521,1.9367
23172,6206.61,306,161,19.703524,1.9006
22303,6182.40,262,157,22.646154,1.6688
22784,6148.22,302,195,18.190000,1.5487
23192,6137.34,346,225,17.095655,1.5378
21154,6094.76,452,176,13.163629,2.5682
21975,6081.85,602,290,9.488066,2.0759
21670,6045.04,377,160,15.500103,2.3563
47556B,6045.00,4,2,1511.250000,2.0000
21156,6017.00,359,204,16.306233,1.7598
22174,6013.43,321,105,18.167462,3.0571
22151,6010.33,333,176,17.421246,1.8920
17003,6006.42,240,137,24.516000,1.7518
23312,5964.15,215,169,27.109773,1.2722
23296,5954.30,379,244,15.306684,1.5533
21871,5940.27,358,136,15.883075,2.6324
21535,5930.81,345,206,16.029216,1.6748
21673,5927.80,368,156,15.356995,2.3590
22584,5916.36,197,128,29.434627,1.5391
22150,5903.94,469,289,12.223478,1.6228
21671,5863.73,370,167,15.112706,2.2156
22971,5811.64,273,166,20.830251,1.6446
21877,5808.01,350,176,15.697324,1.9886
22751,5805.22,291,185,19.678712,1.5730
22740,5793.62,173,90,33.489133,1.9222
23154,5780.48,236,142,22.938413,1.6620
62018,5716.85,61,40,93.718852,1.5250
48129,5699.83,206,127,27.142048,1.6220
22779,5696.35,150,89,35.602188,1.6854
23118,5693.56,262,155,20.480432,1.6903
23553,5684.31,68,51,82.381304,1.3333
22646,5653.87,393,186,13.925788,2.1129
21242,5645.63,305,151,18.153151,2.0199
21257,5639.19,264,101,20.885889,2.6139
22907,5637.70,671,358,7.951622,1.8743
22595,5627.58,469,276,11.773180,1.6993
22838,5603.99,171,120,30.456467,1.4250
23205,5587.83,468,202,11.641313,2.3168
22635,5585.14,195,144,27.378137,1.3542
22466,5571.89,210,115,25.915767,1.8261
21558,5557.87,413,168,13.016089,2.4583
22207,5555.59,209,69,26.082582,3.0290
23526,5550.32,144,80,38.015890,1.8000
22488,5517.58,416,212,12.921733,1.9623
22088,5511.85,241,116,22.497347,2.0776
22837,5504.93,185,109,28.230410,1.6972
23583,5497.33,326,234,16.216313,1.3932
23531,5497.01,112,78,48.219386,1.4359
23052,5489.57,279,148,19.675878,1.8851
23177,5483.04,268,175,19.723165,1.5314
22904,5473.16,272,163,19.617061,1.6687
22366,5470.93,224,105,24.207655,2.1333
22297,5468.66,378,158,14.058252,2.3924
23126,5456.79,292,199,17.949967,1.4673
22964,5451.69,379,219,13.942941,1.7306
22365,5447.06,183,84,29.603587,2.1786
22418,5439.25,319,180,16.633792,1.7722
22798,5431.50,268,127,19.057895,2.1102
22429,5409.43,377,228,13.422903,1.6535
23135,5408.77,48,32,112.682708,1.5000
23158,5393.19,256,97,20.743038,2.6392
23133,5364.43,156,95,34.387372,1.6421
22349,5340.27,132,87,39.557556,1.5172
22464,5332.52,353,194,14.373369,1.8196
21172,5327.03,471,237,11.006260,1.9873
22296,5272.47,319,190,15.833243,1.6789
22998,5240.56,535,219,9.408546,2.4429
22772,5207.95,255,86,19.727083,2.9651
22485,5194.80,209,143,24.503774,1.4615
22898,5174.32,365,202,13.909462,1.8069
23132,5161.52,153,116,32.667848,1.3190
22796,5152.38,234,147,19.970465,1.5918
21164,5144.18,283,167,17.923972,1.6946
23162,5143.69,176,97,29.225511,1.8144
22665,5132.93,363,164,13.798199,2.2134
23263,5125.94,446,270,10.418577,1.6519
22623,5118.89,237,167,21.065391,1.4192
21844,5112.04,157,101,30.248757,1.5545
22302,5106.24,213,135,23.531060,1.5778
22845,5076.11,317,156,15.523272,2.0321
23295,5067.64,445,251,11.016609,1.7729
21098,5051.85,253,116,18.370364,2.1810
23234,5042.21,279,202,17.630105,1.3812
22371,5035.79,396,146,12.193196,2.7123
21428,5031.63,263,118,18.704944,2.2288
21756,5023.98,271,169,17.628000,1.6036
21907,5004.08,369,209,13.415764,1.7656
22271,4998.50,303,182,16.072347,1.6648
23310,4997.28,245,147,20.314146,1.6667
23165,4993.16,281,168,16.424868,1.6726
23198,4975.60,476,260,9.891849,1.8308
22301,4972.43,256,124,18.416407,2.0645
22957,4951.60,215,180,22.204484,1.1944
21932,4946.63,447,219,10.824136,2.0411
23570,4944.37,276,204,16.874983,1.3529
22120,4943.55,189,122,25.614249,1.5492
22780,4938.09,133,83,34.775282,1.6024
84212,4934.87,111,73,44.458288,1.5205
22142,4934.59,380,260,12.556209,1.4615
21933,4929.58,411,199,11.599012,2.0653
23007,4925.07,185,111,26.197181,1.6667
22110,4908.33,280,117,16.925276,2.3932
22748,4861.93,437,234,10.780333,1.8675
21086,4861.90,428,168,11.074943,2.5476
23503,4861.80,336,285,14.010951,1.1789
21937,4854.60,255,147,18.529008,1.7347
21033,4852.02,307,76,15.753312,4.0395
21390,4848.13,213,121,21.838423,1.7603
21124,4806.80,241,182,19.304418,1.3242
22549,4799.83,356,196,13.222672,1.8163
23351,4775.77,355,243,13.120247,1.4609
21876,4775.61,334,142,13.842348,2.3521
23389,4772.24,238,160,19.478531,1.4875
20677,4743.59,334,134,13.951735,2.4925
84050,4739.08,259,141,17.749363,1.8369
22243,4735.14,132,72,34.563066,1.8333
23569,4731.21,193,153,23.306453,1.2614
23157,4726.10,166,112,27.161494,1.4821
23159,4719.76,225,122,20.169915,1.8443
21258,4711.37,168,64,25.466865,2.6250
23286,4705.97,223,127,20.915422,1.7559
22645,4697.28,353,162,12.940165,2.1790
23241,4694.51,364,184,12.386570,1.9783
22636,4689.48,199,142,22.016338,1.4014
23494,4688.96,206,146,21.410776,1.4110
22082,4683.33,410,251,10.916853,1.6335
82552,4680.63,364,185,12.616253,1.9676
37449,4658.06,155,110,25.878111,1.4091
22745,4651.29,424,217,10.668096,1.9539
21539,4649.44,242,125,17.813946,1.9360
85049A,4645.20,360,205,12.622826,1.7561
22721,4641.68,297,184,15.472267,1.6141
22813,4640.78,218,117,21.287982,1.8632
47599A,4636.90,166,103,27.600595,1.6117
22295,4623.87,251,157,17.715977,1.5987
23184,4620.95,265,130,17.114630,2.0385
15056P,4613.07,171,90,26.210625,1.9000
23176,4596.33,227,160,19.231506,1.4188
22775,4586.87,239,81,17.847743,2.9506
23285,4570.71,192,109,23.682435,1.7615
23397,4559.39,219,140,20.445695,1.5643
21833,4543.73,170,88,26.417035,1.9318
22417,4541.24,521,271,8.488299,1.9225
82551,4537.69,353,157,12.710616,2.2484
20979,4529.98,326,166,13.130377,1.9639
22628,4521.01,191,86,22.270985,2.2209
23168,4494.31,338,141,12.449612,2.3972
23309,4478.80,408,179,10.296092,2.2793
21934,4463.78,412,86,10.808184,4.7907
23275,4462.56,326,172,12.934957,1.8953
22089,4460.38,273,143,16.160797,1.9091
22783,4460.13,34,30,131.180294,1.1333
23530,4453.17,87,61,50.604205,1.4262
84987,4452.32,335,204,13.133687,1.6422
23288,4429.06,187,108,23.188796,1.7315
22781,4417.29,233,122,17.956463,1.9098
23163,4400.82,210,96,20.856967,2.1875
23404,4384.61,171,105,23.829402,1.6286
23556,4375.62,54,47,76.765263,1.1489
22938,4371.63,187,161,22.768906,1.1615
22689,4371.57,150,96,28.760329,1.5625
22946,4361.65,139,67,29.671088,2.0746
16014,4335.76,54,34,80.291852,1.5882
22839,4325.27,202,109,20.211542,1.8532
23349,4325.10,338,215,12.357429,1.5721
22899,4318.03,315,192,13.493844,1.6406
84692,4316.46,588,210,7.158308,2.8000
20975,4309.82,367,232,11.401640,1.5819
21892,4305.91,413,236,10.155448,1.7500
21498,4301.42,337,239,12.688555,1.4100
22327,4292.45,290,107,14.027614,2.7103
23008,4275.72,134,100,30.760576,1.3400
22723,4274.67,296,171,14.015311,1.7310
22626,4236.23,204,135,20.172524,1.5111
23554,4235.76,57,50,71.792542,1.1400
23555,4235.76,50,46,78.440000,1.0870
20970,4224.63,263,142,15.882068,1.8521
23166,4221.28,248,139,16.235692,1.7842
22661,4221.16,416,173,9.932141,2.4046
23237,4209.19,178,132,22.389309,1.3485
23089,4192.08,226,102,17.763051,2.2157
23012,4177.36,247,152,16.317813,1.6250
23558,4175.82,52,44,75.924000,1.1818
22550,4164.89,221,137,18.760766,1.6131
20974,4164.08,356,196,11.254270,1.8163
23144,4161.31,275,181,14.968741,1.5193
84509A,4159.37,299,104,13.818505,2.8750
22694,4150.92,406,230,9.906730,1.7652
22801,4144.25,221,125,17.486287,1.7680
85049E,4133.07,452,249,8.888323,1.8153
20682,4125.83,241,141,16.636411,1.7092
21874,4122.22,296,113,13.559934,2.6195
23306,4113.23,282,183,14.432386,1.5410
23050,4112.30,206,117,19.962621,1.7607
22596,4112.20,263,198,15.008029,1.3283
23167,4110.82,232,130,16.642996,1.7846
22489,4072.13,444,233,9.049178,1.9056
23255,4064.02,159,117,25.086543,1.3590
21906,4055.92,174,72,22.532889,2.4167
23340,4053.88,151,113,26.495948,1.3363
23193,4052.28,176,110,21.669947,1.6000
21116,4051.79,259,82,15.583808,3.1585
23314,4035.96,118,88,33.355041,1.3409
21704,4035.42,249,138,16.013571,1.8043
22896,4017.86,289,145,13.619864,1.9931
22219,4015.88,546,191,7.158431,2.8586
72351B,4005.75,187,89,20.863281,2.1011
23194,4003.12,215,143,17.480873,1.5035
23129,3995.35,173,139,23.094509,1.2446
22577,3992.89,540,345,7.155717,1.5652
22431,3987.01,337,160,11.623936,2.1063
20675,3969.37,323,151,12.138746,2.1391
22274,3953.48,268,169,14.324203,1.5858
23130,3951.63,185,140,21.245323,1.3214
22131,3950.24,292,116,13.037096,2.5172
22951,3944.55,438,238,8.612555,1.8403
23112,3936.77,242,135,15.083410,1.7926
22841,3918.35,215,158,17.492634,1.3608
22649,3912.96,204,88,17.012870,2.3182
72760B,3902.26,154,106,25.014487,1.4528
21041,3900.78,256,101,14.664586,2.5347
22148,3899.90,187,149,20.102577,1.2550
22117,3896.45,96,59,40.588021,1.6271
22061,3895.36,147,88,24.045432,1.6705
21716,3893.32,245,113,15.762429,2.1681
23552,3883.99,116,94,31.322500,1.2340
22222,3879.84,222,105,17.476757,2.1143
84792,3864.28,242,127,15.581774,1.9055
21749,3860.29,141,81,26.995035,1.7407
23081,3831.00,140,81,26.790210,1.7284
22350,3819.57,124,64,30.556560,1.9375
23131,3815.23,119,92,31.272377,1.2935
21243,3813.64,211,104,17.988868,2.0288
23032,3800.88,201,118,17.355616,1.7034
84078A,3796.20,156,80,23.289571,1.9500
22980,3790.91,292,199,12.511254,1.4673
